Key,Probability
0_1st_run_0,0.06957776155613281
0_1st_run_4,0.46242937628660885
0_1st_run_8,0.2931211517568817
0_1st_run_12,0.11770458225235259
0_1st_run_16,0.03984194020366383
0_1st_run_20,0.01732518794436022
0_1st_pass_0,0.04936476338933137
0_1st_pass_4,0.4032390778309103
0_1st_pass_8,0.31236255591256057
0_1st_pass_12,0.1474261412028669
0_1st_pass_16,0.057529744835947305
0_1st_pass_20,0.03007771682838356
0_2nd_run_0,0.25427264398312777
0_2nd_run_4,0.5984996383375278
0_2nd_run_8,0.12348049248032078
0_2nd_run_12,0.02017534601168025
0_2nd_run_16,0.0030537086292706794
0_2nd_run_20,0.0005181705580726836
0_2nd_pass_0,0.18002912563065426
0_2nd_pass_4,0.5913862555416463
0_2nd_pass_8,0.17904987398167527
0_2nd_pass_12,0.03975880948913024
0_2nd_pass_16,0.007939903675732163
0_2nd_pass_20,0.0018360316811617539
0_3rd_run_0,0.06045124238301563
0_3rd_run_4,0.43822169685662477
0_3rd_run_8,0.30248246568295944
0_3rd_run_12,0.13008776884591544
0_3rd_run_16,0.04677830783757497
0_3rd_run_20,0.02197851839390974
0_3rd_pass_0,0.12028524959825748
0_3rd_pass_4,0.5488582482699509
0_3rd_pass_8,0.2371781962754026
0_3rd_pass_12,0.07002144951724099
0_3rd_pass_16,0.018043755048369636
0_3rd_pass_20,0.005613101290778411
0_4th_run_0,0.17464785106281824
0_4th_run_4,0.5892370969551525
0_4th_run_8,0.18377873278764545
0_4th_run_12,0.04179038600955076
0_4th_run_16,0.00852580065597075
0_4th_run_20,0.0020201325288623506
0_4th_pass_0,0.06468247491100215
0_4th_pass_4,0.44989990313041256
0_4th_pass_8,0.29823773333322545
0_4th_pass_12,0.12415338444313795
0_4th_pass_16,0.04338186816339129
0_4th_pass_20,0.019644636018830597
1_1st_run_0,0.09393313704812521
1_1st_run_4,0.5122107417148289
1_1st_run_8,0.2661888724885998
1_1st_run_12,0.09111985835363356
1_1st_run_16,0.026781525807930695
1_1st_run_20,0.009765864586881778
1_1st_pass_0,0.11111554981911599
1_1st_pass_4,0.5377286814933768
1_1st_pass_8,0.2471119420245944
1_1st_pass_12,0.07664190495436451
1_1st_pass_16,0.02063614791971291
1_1st_pass_20,0.006765773788835361
1_2nd_run_0,0.10663947653807046
1_2nd_run_4,0.5317048506676524
1_2nd_run_8,0.252034028702106
1_2nd_run_12,0.08013537671135584
1_2nd_run_16,0.022058894960121145
1_2nd_run_20,0.007427372420694134
1_2nd_pass_0,0.03929090984898829
1_2nd_pass_4,0.3645224660004227
1_2nd_pass_8,0.3186162799623439
1_2nd_pass_12,0.16578140352115966
1_2nd_pass_16,0.07046862604994686
1_2nd_pass_20,0.04132031461713859
1_3rd_run_0,0.14608095731335605
1_3rd_run_4,0.5727700081689217
1_3rd_run_8,0.21058238113348327
1_3rd_run_12,0.054622520268482244
1_3rd_run_16,0.01253963853294926
1_3rd_run_20,0.00340449458280756
1_3rd_pass_0,0.06699489333954185
1_3rd_pass_4,0.45594349789578986
1_3rd_pass_8,0.29584424562876876
1_3rd_pass_12,0.12105353215445391
1_3rd_pass_16,0.04166107571710631
1_3rd_pass_20,0.01850275526433931
1_4th_run_0,0.13221004400502537
1_4th_run_4,0.561153847765446
1_4th_run_8,0.2246170394850583
1_4th_run_12,0.062367174152383575
1_4th_run_16,0.015215642103413862
1_4th_run_20,0.004436252488672965
1_4th_pass_0,0.11665042867238534
1_4th_pass_4,0.5446325640620873
1_4th_pass_8,0.2410897253215164
1_4th_pass_12,0.07256366203034004
1_4th_pass_16,0.019023168453192518
1_4th_pass_20,0.006040451460478491
2_1st_run_0,0.09490627369589162
2_1st_run_4,0.5138393792207386
2_1st_run_8,0.26509861856848627
2_1st_run_12,0.09021797017108835
2_1st_run_16,0.02637939123060573
2_1st_run_20,0.009558367113189359
2_1st_pass_0,0.09122370330058366
2_1st_pass_4,0.5075479400561815
2_1st_pass_8,0.2692263043612859
2_1st_pass_12,0.09368829874363971
2_1st_pass_16,0.027941009702014852
2_1st_pass_20,0.010372743836294385
2_2nd_run_0,0.04793825054960605
2_2nd_run_4,0.39820629369057414
2_2nd_run_8,0.31344839316231793
2_2nd_run_12,0.1498645105773424
2_2nd_run_16,0.05914920504941523
2_2nd_run_20,0.03139334697074425
2_2nd_pass_0,0.05537017328169783
2_2nd_pass_4,0.4230384101903161
2_2nd_pass_8,0.30728010613287704
2_2nd_pass_12,0.13769467895091536
2_2nd_pass_16,0.05133712830792425
2_2nd_pass_20,0.025279503136269366
2_3rd_run_0,0.09034525220688999
2_3rd_run_4,0.5059946309679271
2_3rd_run_8,0.270211314598076
2_3rd_run_12,0.09453960875238221
2_3rd_run_16,0.028330001398404137
2_3rd_run_20,0.01057919207632052
2_3rd_pass_0,0.06307121953628984
2_3rd_pass_4,0.44555013010269456
2_3rd_pass_8,0.29987655095894483
2_3rd_pass_12,0.126372266895864
2_3rd_pass_16,0.044635889592838485
2_3rd_pass_20,0.020493942913368257
2_4th_run_0,0.07665575743551543
2_4th_run_4,0.4788861261553282
2_4th_run_8,0.28545851628937635
2_4th_run_12,0.10909930101594245
2_4th_run_16,0.03535175446140815
2_4th_run_20,0.014548544642429384
2_4th_pass_0,0.06312070497103664
2_4th_pass_4,0.44568546683503696
2_4th_pass_8,0.2998266050591677
2_4th_pass_12,0.12630338232173355
2_4th_pass_16,0.044596675708182376
2_4th_pass_20,0.02046716510484281
3_1st_run_0,0.14416078389310052
3_1st_run_4,0.5713187933096019
3_1st_run_8,0.21248638175436707
3_1st_run_12,0.05562787386112211
3_1st_run_16,0.012876395755040182
3_1st_run_20,0.0035297714267682467
3_1st_pass_0,0.05545461733604123
3_1st_pass_4,0.42330188131128293
3_1st_pass_8,0.3072036209226757
3_1st_pass_12,0.1375637306820292
3_1st_pass_16,0.05125662512563578
3_1st_pass_20,0.02521952462233512
3_2nd_run_0,0.11793039382315575
3_2nd_run_4,0.5461476322616754
3_2nd_run_8,0.23970821518400076
3_2nd_run_12,0.07165654583394976
3_2nd_run_16,0.018671398332162803
3_2nd_run_20,0.005885814565055547
3_2nd_pass_0,0.13204670798488666
3_2nd_pass_4,0.561000655703477
3_2nd_pass_8,0.2247861057794851
3_2nd_pass_12,0.06246540267220135
3_2nd_pass_16,0.015250785181488924
3_2nd_pass_20,0.004450342678460895
3_3rd_run_0,0.141896816334872
3_3rd_run_4,0.569545352056962
3_3rd_run_8,0.21474753171090877
3_3rd_run_12,0.056839631560012926
3_3rd_run_16,0.013286520413802183
3_3rd_run_20,0.0036841479234420715
3_3rd_pass_0,0.039762202829094
3_3rd_pass_4,0.36651373148727223
3_3rd_pass_8,0.31841153654230525
3_3rd_pass_12,0.1648613274309647
3_3rd_pass_16,0.0697760535156069
3_3rd_pass_20,0.04067514819475693
3_4th_run_0,0.12016150694177272
3_4th_run_4,0.548718250123778
3_4th_run_8,0.2373107594924483
3_4th_run_12,0.07010629819299075
3_4th_run_16,0.018076121376132903
3_4th_run_20,0.005627063872877369
3_4th_pass_0,0.15577714700411585
3_4th_pass_4,0.5793923544943531
3_4th_pass_8,0.2011634435707994
3_4th_pass_12,0.04984195705977679
3_4th_pass_16,0.01098216970133259
3_4th_pass_20,0.002842928169622283
